url1,url2,similarity
https://nordlayer.com/learn/network-security/basics/,https://www.cisco.com/site/us/en/learn/topics/security/what-is-network-security.html,0.848
https://nordlayer.com/learn/network-security/basics/,https://digitdefence.com/blog/fundamentals-of-network-security-in-computer-networks,0.811
https://guardiandigital.com/resources/blog/guide-on-phishing,https://inspiredelearning.com/blog/phishing-protection-checklist/,0.835
https://en.wikipedia.org/wiki/SD-WAN,https://www.cisco.com/site/us/en/learn/topics/networking/what-is-sd-wan.html,0.919
https://en.wikipedia.org/wiki/SD-WAN,https://www.fortinet.com/resources/cyberglossary/sd-wan-explained,0.844
https://www.cisco.com/site/us/en/learn/topics/networking/what-is-sd-wan.html,https://www.fortinet.com/resources/cyberglossary/sd-wan-explained,0.857
https://sign.dropbox.com/products/dropbox-fax,https://www.fax.plus/,0.9
https://sign.dropbox.com/products/dropbox-fax,https://comfax.com/reviews/free-fax/,0.883
https://www.fax.plus/,https://comfax.com/reviews/free-fax/,0.895
https://nytlicensing.com/latest/trends/content-marketing-best-practices-2022/,https://copyblogger.com/content-marketing/,0.819
https://copyblogger.com/content-marketing/,https://mailchimp.com/marketing-glossary/content-marketing/,0.854
https://realpython.com/tutorials/data-science/,https://jakevdp.github.io/PythonDataScienceHandbook/,0.848
https://emotive.io/blog/11-essential-digital-marketing-tips,https://www.forbes.com/advisor/business/what-is-digital-marketing/,0.803
https://emotive.io/blog/11-essential-digital-marketing-tips,https://blog.hubspot.com/marketing/what-is-digital-marketing,0.85
https://www.forbes.com/advisor/business/what-is-digital-marketing/,https://blog.hubspot.com/marketing/what-is-digital-marketing,0.88
https://simple.wikipedia.org/wiki/Content_marketing,https://simple.wikipedia.org/wiki/Digital_marketing,0.814
https://en.wikipedia.org/wiki/Machine_learning,https://simple.wikipedia.org/wiki/Machine_learning,0.856
